Date,HolidayName,IsHoliday,IsHolidayEve
23/04/2024,Passover I,1,0
24/04/2024,Passover II,1,0
28/04/2024,Passover VII,1,0
29/04/2024,Passover VIII,1,0
13/05/2024,Independence Day Eve,0,1
14/05/2024,Independence Day,1,0
11/06/2024,Shavuot Eve,0,1
12/06/2024,Shavuot I,1,0
13/06/2024,Shavuot II,1,0
31/10/2024,Municipal Elections,1,0
02/10/2024,Rosh Hashana Eve,0,1
03/10/2024,Rosh Hashana I,1,0
04/10/2024,Rosh Hashana II,1,0
11/10/2024,Yom Kippur Eve,0,1
12/10/2024,Yom Kippur,1,0
16/10/2024,Sukkot Eve,0,1
17/10/2024,Sukkot I,1,0
23/10/2024,Hoshana Rabba,1,0
24/10/2024,Simchat Torah,1,0
13/03/2025,Purim Eve,0,1
14/03/2025,Purim,1,0
12/04/2025,Passover Eve,0,1
13/04/2025,Passover I,1,0
14/04/2025,Passover II,1,0
18/04/2025,Passover VII,1,0
19/04/2025,Passover VIII,1,0
01/05/2025,Independence Day Eve,0,1
02/05/2025,Independence Day,1,0
01/06/2025,Shavuot Eve,0,1
02/06/2025,Shavuot I,1,0
03/06/2025,Shavuot II,1,0
31/10/2025,Municipal Elections,1,0
22/09/2025,Rosh Hashana Eve,0,1
23/09/2025,Rosh Hashana I,1,0
24/09/2025,Rosh Hashana II,1,0
01/10/2025,Yom Kippur Eve,0,1
02/10/2025,Yom Kippur,1,0
06/10/2025,Sukkot Eve,0,1
07/10/2025,Sukkot I,1,0
13/10/2025,Hoshana Rabba,1,0
14/10/2025,Simchat Torah,1,0
02/03/2026,Purim Eve,0,1
03/03/2026,Purim,1,0
01/04/2026,Passover Eve,0,1
02/04/2026,Passover I,1,0
03/04/2026,Passover II,1,0
07/04/2026,Passover VII,1,0
08/04/2026,Passover VIII,1,0
21/04/2026,Independence Day Eve,0,1
22/04/2026,Independence Day,1,0
21/05/2026,Shavuot Eve,0,1
22/05/2026,Shavuot I,1,0
23/05/2026,Shavuot II,1,0
31/10/2026,Municipal Elections,1,0
02/11/2026,Knesset Elections,1,0
11/09/2026,Rosh Hashana Eve,0,1
12/09/2026,Rosh Hashana I,1,0
13/09/2026,Rosh Hashana II,1,0
20/09/2026,Yom Kippur Eve,0,1
21/09/2026,Yom Kippur,1,0
25/09/2026,Sukkot Eve,0,1
26/09/2026,Sukkot I,1,0
02/10/2026,Hoshana Rabba,1,0
03/10/2026,Simchat Torah,1,0
22/03/2027,Purim Eve,0,1
23/03/2027,Purim,1,0
21/04/2027,Passover Eve,0,1
22/04/2027,Passover I,1,0
23/04/2027,Passover II,1,0
27/04/2027,Passover VII,1,0
28/04/2027,Passover VIII,1,0
11/05/2027,Independence Day Eve,0,1
12/05/2027,Independence Day,1,0
10/06/2027,Shavuot Eve,0,1
11/06/2027,Shavuot I,1,0
12/06/2027,Shavuot II,1,0
31/10/2027,Municipal Elections,1,0
30/09/2027,Rosh Hashana Eve,0,1
01/10/2027,Rosh Hashana I,1,0
02/10/2027,Rosh Hashana II,1,0
09/10/2027,Yom Kippur Eve,0,1
10/10/2027,Yom Kippur,1,0
14/10/2027,Sukkot Eve,0,1
15/10/2027,Sukkot I,1,0
21/10/2027,Hoshana Rabba,1,0
22/10/2027,Simchat Torah,1,0
11/03/2028,Purim Eve,0,1
12/03/2028,Purim,1,0
09/04/2028,Passover Eve,0,1
10/04/2028,Passover I,1,0
11/04/2028,Passover II,1,0
15/04/2028,Passover VII,1,0
16/04/2028,Passover VIII,1,0
30/04/2028,Independence Day Eve,0,1
01/05/2028,Independence Day,1,0
28/05/2028,Shavuot Eve,0,1
29/05/2028,Shavuot I,1,0
30/05/2028,Shavuot II,1,0
31/10/2028,Municipal Elections,1,0
18/09/2028,Rosh Hashana Eve,0,1
19/09/2028,Rosh Hashana I,1,0
20/09/2028,Rosh Hashana II,1,0
27/09/2028,Yom Kippur Eve,0,1
28/09/2028,Yom Kippur,1,0
02/10/2028,Sukkot Eve,0,1
03/10/2028,Sukkot I,1,0
09/10/2028,Hoshana Rabba,1,0
10/10/2028,Simchat Torah,1,0
01/03/2029,Purim Eve,0,1
02/03/2029,Purim,1,0
30/03/2029,Passover Eve,0,1
31/03/2029,Passover I,1,0
01/04/2029,Passover II,1,0
05/04/2029,Passover VII,1,0
06/04/2029,Passover VIII,1,0
18/04/2029,Independence Day Eve,0,1
19/04/2029,Independence Day,1,0
19/05/2029,Shavuot Eve,0,1
20/05/2029,Shavuot I,1,0
21/05/2029,Shavuot II,1,0
31/10/2029,Municipal Elections,1,0
09/09/2029,Rosh Hashana Eve,0,1
10/09/2029,Rosh Hashana I,1,0
11/09/2029,Rosh Hashana II,1,0
18/09/2029,Yom Kippur Eve,0,1
19/09/2029,Yom Kippur,1,0
23/09/2029,Sukkot Eve,0,1
24/09/2029,Sukkot I,1,0
30/09/2029,Hoshana Rabba,1,0
01/10/2029,Simchat Torah,1,0
18/03/2030,Purim Eve,0,1
19/03/2030,Purim,1,0
16/04/2030,Passover Eve,0,1
17/04/2030,Passover I,1,0
18/04/2030,Passover II,1,0
22/04/2030,Passover VII,1,0
23/04/2030,Passover VIII,1,0
06/05/2030,Independence Day Eve,0,1
07/05/2030,Independence Day,1,0
05/06/2030,Shavuot Eve,0,1
06/06/2030,Shavuot I,1,0
07/06/2030,Shavuot II,1,0
03/11/2030,Knesset Elections,1,0
31/10/2030,Municipal Elections,1,0
26/09/2030,Rosh Hashana Eve,0,1
27/09/2030,Rosh Hashana I,1,0
28/09/2030,Rosh Hashana II,1,0
05/10/2030,Yom Kippur Eve,0,1
06/10/2030,Yom Kippur,1,0
10/10/2030,Sukkot Eve,0,1
11/10/2030,Sukkot I,1,0
17/10/2030,Hoshana Rabba,1,0
18/10/2030,Simchat Torah,1,0
